model,precision,recall,f1
Logistic Regression,0.9967637540453075,1.0,0.9983792544570502
Decision Tree,0.9685534591194969,1.0,0.9840255591054313
Random Forest,1.0,0.9967532467532467,0.9983739837398374
Gradient Boosting,1.0,0.9967532467532467,0.9983739837398374
LightGBM,1.0,0.9967532467532467,0.9983739837398374
